plot_no,MgC_per_ha,MgC_SE,longitude,latitude,maxlst,minlst,medlst,maxevapo,minevapo,medevapo,mam_ndvi,jja_ndvi,ond_ndvi,jf_ndvi,elevation,slope
100,-5.917496781,11.07405165,37.44350709,0.188830417,48.10230637,19.12779808,33.40495682,31.52007675,4.314312458,10.98760319,0.496769845,0.502481997,0.53180331,0.353243351,1719.50061,1.257562995
101,5.368320719,6.831054289,37.44208292,0.195686667,48.10230637,19.12779808,33.40495682,31.52007675,4.314312458,10.98760319,0.496769845,0.502481997,0.53180331,0.353243351,1719.50061,1.257562995
102,-25.15734803,6.005767242,37.45033167,0.192939167,48.42400742,18.97957993,33.32384491,34.99761581,5.782212257,15.67324448,0.538586259,0.553081214,0.568681419,0.480587751,1713.242554,1.195975423
103,-6.361790531,13.1805855,37.47506917,0.203931667,45.24532318,17.71003342,31.51170731,32.70223236,4.654613018,10.79753876,0.539892375,0.534964919,0.548652768,0.399948627,1702.85144,1.085276365
104,-23.74726428,4.785344908,37.486095,0.176459583,48.8993988,19.07921982,34.90660477,31.4126606,4.630096912,9.264070511,0.498556405,0.544111609,0.560510933,0.372416466,1781.645142,1.613140583
105,-4.698341781,9.613788937,37.4681725,0.20391125,45.24532318,17.71003342,31.51170731,32.70223236,4.654613018,10.79753876,0.539892375,0.534964919,0.548652768,0.399948627,1702.85144,1.085276365
106,2.914660719,11.65220047,37.48605667,0.173744167,48.8993988,19.07921982,34.90660477,31.4126606,4.630096912,9.264070511,0.498556405,0.544111609,0.560510933,0.372416466,1781.645142,1.613140583
109,-13.68028178,5.594668737,37.46953833,0.22316125,46.51779175,18.81934738,32.34135056,30.74410057,4.932858944,12.36464214,0.530961156,0.526348472,0.550567448,0.421785533,1684.698486,1.733045816
110,41.22097822,5.898857172,37.47368333,0.217659167,46.51779175,18.81934738,32.34135056,30.74410057,4.932858944,12.36464214,0.530961156,0.526348472,0.550567448,0.421785533,1684.698486,1.733045816
111,26.42498947,14.49438424,37.37346792,0.23004875,46.39815521,18.20225716,32.17089462,25.75208473,3.944511175,10.68005276,0.524846315,0.527120531,0.552055895,0.437240303,1713.738281,0.882771611
113,3.707703219,14.46058654,37.4860525,0.209405417,47.39941406,19.06002235,32.85261536,27.41494751,3.716223717,8.722761154,0.530529737,0.479162425,0.527727544,0.350173295,1678.171021,1.391023755
123,-2.567549281,6.458342435,37.49017958,0.169637917,48.16175079,17.99555779,34.42094803,29.36103439,4.928898811,10.01008701,0.477275372,0.534527481,0.573575497,0.408203185,1810.89624,2.747461319
2,-28.62365741,7.351000811,37.17843243,0.311559788,44.00727081,17.12571526,32.16936493,17.88529015,2.304627419,5.615384579,0.23966898,0.323980123,0.3711133,0.208606556,1869.876099,2.447440147
201,-47.03150678,4.756251684,37.11251776,0.253400607,41.99303055,19.12195778,30.33428955,20.62801743,3.670562983,7.441861629,0.345722526,0.432483882,0.540871203,0.298345089,1914.812988,4.192759514
229,8.222288219,11.29375363,37.41048167,0.161351667,42.40525818,12.50589943,27.3355732,31.52397346,6.943250656,15.04199123,0.5870772,0.637995124,0.666356862,0.496080071,1871.597412,4.853574753
233,-18.71644803,9.966657995,37.50114667,0.238256667,46.83202744,18.70165062,32.05611038,27.56757164,3.650931597,11.11118793,0.50542742,0.488581836,0.534471929,0.356024384,1629.751221,3.209592104
281,-3.599136781,11.74292774,37.42695794,0.197040219,46.47097778,19.37537003,32.72415924,41.3882103,8.158281326,17.49303436,0.612919509,0.596651375,0.624175191,0.540848255,1710.90979,1.041321039
3,-40.71943616,5.075295812,37.17787876,0.310934375,44.00727081,17.12571526,32.16936493,17.88529015,2.304627419,5.615384579,0.23966898,0.323980123,0.3711133,0.208606556,1869.876099,2.447440147
31,1.108193219,4.131356064,37.25124875,0.22729625,44.56591797,16.43054962,29.6633873,26.51053619,4.340494156,9.399822235,0.434791058,0.521232426,0.591075778,0.422908425,1979.526367,0.877588332
32,59.80924322,22.45773616,37.25665209,0.269899167,45.05185699,16.88295746,30.26320457,26.92230988,3.239382267,8.886112213,0.488323987,0.562894464,0.566764116,0.411847264,2011.29895,0.963603795
33,-11.60373178,8.285245827,37.30890833,0.247872083,46.15652084,17.71327591,31.55786514,25.38470078,3.776037931,8.979558945,0.518241584,0.57714361,0.579227328,0.463758558,1927.536377,2.276268721
34,-29.13520178,9.899943428,37.15097932,0.305559577,45.68733215,20.99711418,32.64467239,29.73729324,3.273333073,8.287077904,0.380634934,0.498905063,0.581844747,0.342011184,1801.074341,0.689875484
35,-33.04054553,13.89304726,37.10567708,0.324783587,42.13258743,18.21248055,31.05391884,20.23410988,3.014737844,6.133328915,0.294129997,0.453451842,0.507036209,0.263877541,1862.724854,1.682784438
36,-34.22025178,4.42492392,37.11526759,0.291843012,42.1840744,13.06854153,30.00630188,21.1456604,3.459703445,7.693024158,0.389367253,0.518012047,0.554213881,0.311571091,1941.211426,5.55634594
43,27.94766072,16.30739245,37.43657402,0.253390161,46.66644287,21.53197098,33.19720459,26.75625801,3.324085474,9.166751862,0.435652018,0.41689384,0.453544199,0.268457592,1672.455688,2.720569611
44,-4.498755531,9.004971355,37.42288042,0.265760833,46.08397293,21.63762856,33.28778076,26.8859539,3.307133913,8.596701622,0.393287539,0.390445113,0.412478656,0.254662365,1606.853516,2.306471109
45,-3.646864281,9.912831699,37.39129958,0.26846,46.82087326,21.39405441,33.92444611,24.12240982,3.136256695,8.881177902,0.45468691,0.490600526,0.501408041,0.330572814,1622.566406,3.753004313
55,2.355803219,6.106933073,37.24843208,0.217646667,43.84780884,14.83952713,29.0108757,29.69171524,4.549372196,10.05254936,0.474735707,0.577128172,0.625680149,0.411031604,2027.410645,2.7820158
56,-23.34897178,8.558339793,37.3528088,0.272595071,46.44566345,21.61766243,33.75804901,22.06100845,3.044824362,8.058814049,0.44857192,0.54050982,0.55250448,0.33646211,1660.324097,2.560851097
57,42.97528572,11.69485301,37.33496268,0.249253566,44.97962952,18.26202583,31.8581562,25.64189911,3.627068281,10.07717037,0.504398644,0.561989367,0.587109745,0.417858034,1732.181763,3.686473846
58,19.80414197,16.39532516,37.38990833,0.221797083,46.56842422,18.82328606,32.16694641,25.51136589,3.820695639,10.57412624,0.485969096,0.471474588,0.518019378,0.374612689,1722.496338,1.869237065
63,-48.84699678,2.77074267,37.15511375,0.250645417,44.21498489,20.92272758,30.51819801,26.25189972,3.522557735,8.957509041,0.441601306,0.506123662,0.581662655,0.361013561,1926.628052,2.187555552
